onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
43.65	n/a	21825	surroundSuppB2_start	97	n/a	n/a	n/a
45.186	n/a	22593	fixpoint_ON	4	n/a	n/a	n/a
45.702	2.4	22851	stim_ON	8	1	1	3
48.62	n/a	24310	fixpoint_ON	4	n/a	n/a	n/a
49.13	2.4	24565	stim_ON	8	1	0.6	1
52.04	n/a	26020	fixpoint_ON	4	n/a	n/a	n/a
52.55	2.4	26275	stim_ON	8	1	0.3	2
55.46	n/a	27730	fixpoint_ON	4	n/a	n/a	n/a
55.97	2.4	27985	stim_ON	8	1	0	3
58.88	n/a	29440	fixpoint_ON	4	n/a	n/a	n/a
59.39	2.4	29695	stim_ON	8	1	0	2
62.3	n/a	31150	fixpoint_ON	4	n/a	n/a	n/a
62.81	2.4	31405	stim_ON	8	1	0.3	1
65.72	n/a	32860	fixpoint_ON	4	n/a	n/a	n/a
66.23	2.4	33115	stim_ON	8	1	0.6	3
69.14	n/a	34570	fixpoint_ON	4	n/a	n/a	n/a
69.65	2.4	34825	stim_ON	8	1	1	2
72.57	n/a	36285	fixpoint_ON	4	n/a	n/a	n/a
73.08	2.4	36540	stim_ON	8	1	1	3
75.99	n/a	37995	fixpoint_ON	4	n/a	n/a	n/a
76.5	2.4	38250	stim_ON	8	1	0.6	1
79.41	n/a	39705	fixpoint_ON	4	n/a	n/a	n/a
79.92	2.4	39960	stim_ON	8	1	0.3	2
82.83	n/a	41415	fixpoint_ON	4	n/a	n/a	n/a
83.34	2.4	41670	stim_ON	8	1	0	3
86.25	n/a	43125	fixpoint_ON	4	n/a	n/a	n/a
86.76	2.4	43380	stim_ON	8	0	1	1
89.668	n/a	44834	fixpoint_ON	4	n/a	n/a	n/a
90.18	2.4	45090	stim_ON	8	0	0.6	2
93.088	n/a	46544	fixpoint_ON	4	n/a	n/a	n/a
93.6	2.4	46800	stim_ON	8	0	0.3	3
96.508	n/a	48254	fixpoint_ON	4	n/a	n/a	n/a
97.02	2.4	48510	stim_ON	8	0	0	1
99.928	n/a	49964	fixpoint_ON	4	n/a	n/a	n/a
100.44	2.4	50220	stim_ON	8	1	1	3
103.348	n/a	51674	fixpoint_ON	4	n/a	n/a	n/a
103.86	2.4	51930	stim_ON	8	1	0.6	2
106.768	n/a	53384	fixpoint_ON	4	n/a	n/a	n/a
107.28	2.4	53640	stim_ON	8	1	0.3	1
110.188	n/a	55094	fixpoint_ON	4	n/a	n/a	n/a
110.7	2.4	55350	stim_ON	8	1	0	3
113.608	n/a	56804	fixpoint_ON	4	n/a	n/a	n/a
114.12	2.4	57060	stim_ON	8	1	0	3
117.028	n/a	58514	fixpoint_ON	4	n/a	n/a	n/a
117.538	2.4	58769	stim_ON	8	1	0.3	1
120.448	n/a	60224	fixpoint_ON	4	n/a	n/a	n/a
